Employee Id,Name,Job Title,Email,Manager,Status,Start Date,Department,Location,Salary,Bonus,End Date,Photo,Performance,Project,Entity,Recruiting,Skill,Role,Utilization,Source,level
p_DrnEHzsrxaHOPnwwNDBwy,Melody Himes,CEO,melody.himes@yahoo.com,,Active,01/01/2018,Customer Support and Success,"Toronto, Canada",20000000,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Self-serve,Agentnoon Canada Inc.,,,,,,1
p_cNNDKZRLm2DMkjKXx8YPdo,Pablo Pitts,CHRO,pablo.pitts@hotmail.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,01/01/2018,Business Intelligence,"Paris, France",157478.1361,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Audit,Agentnoon USA Inc.,,,,,,2
p_XkJbblsKUlQoR5W1DxAN7t,Drew Bromley,CLO,drew.bromley@godaddy.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,01/01/2018,Network Operations,"San Francisco, United States",134256.292,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Retention,Agentnoon Canada Inc.,,,,,,2
p_FEaU556X6F8tMioU8WrDN,Christopher Mcardle,CLO,christopher.mcardle@efficientoffice.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,01/01/2018,Finance and Accounting,"Paris, France",146885.8933,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Retention,Agentnoon EU Inc.,,,,,,2
p_qGANANkLanxTJvL6eHPNmym,Marita Rudge,CBO,marita.rudge@godaddy.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,01/01/2018,Software Development,"London, United Kingdom",118144.8648,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Re-Design,Agentnoon EU Inc.,,,,,,2
p_P7lSz8GTk0HF8V8d0Ra6E,Harold Kilmer,Intermediate VP of  Engineering,harold.kilmer@efficientoffice.com,p_cNNDKZRLm2DMkjKXx8YPdo,Active,03/01/2018,Digital Marketing,"San Francisco, United States",101242.9921,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Audit,Agentnoon Asia Inc.,,,,,,3
p_9fCpnHvyvnnbJUqzQcUpr,Derek Rivera,VP of  IT,derek.rivera@gmail.com,p_cNNDKZRLm2DMkjKXx8YPdo,Active,01/01/2018,User Experience (UX) Design,"London, United Kingdom",96194.71111,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Audit,Agentnoon Canada Inc.,,,,,,3
p_WmU7raAVSce7hdaoDKUdGZ,Martha Dickey,Intermediate VP of  Engineering,martha.dickey@efficientoffice.com,p_cNNDKZRLm2DMkjKXx8YPdo,Active,13/01/2018,Customer Support and Success,"Berlin, Germany",105249.654,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Re-Design,Agentnoon Canada Inc.,,,,,,3
p_wxISoPHXyh6A9jhDKEzuWH,Maxine Martinez,Lead VP of Sales,maxine.martinez@yahoo.com,p_XkJbblsKUlQoR5W1DxAN7t,Active,05/01/2018,Cloud Computing,"London, United Kingdom",91981.43107,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Audit,Agentnoon Canada Inc.,,,,,,3
p_drglzAuiiGDKLlydiuPLNR,Johnnie Mitchell,Senior VP of  Operations,johnnie.mitchell@gmail.com,p_XkJbblsKUlQoR5W1DxAN7t,Active,15/01/2018,Cloud Computing,"Berlin, Germany",93675.06449,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Retention,Agentnoon Canada Inc.,,,,,,3
p_BQQu7D5Ta0n873Hpwsrx2,Marcia Moreno,Staff VP of  Finance,marcia.moreno@hotmail.com,p_XkJbblsKUlQoR5W1DxAN7t,Active,11/01/2018,Network Operations,"Paris, France",94594.0847,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Self-serve,Agentnoon Canada Inc.,,,,,,3
p_x7BMwcjZLVejCnQnhVsDT,Robert Hughes,Senior VP of  Marketing,robert.hughes@outlook.com,p_XkJbblsKUlQoR5W1DxAN7t,Active,05/01/2018,Sales and Business Development,"San Francisco, United States",109774.004,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Self-serve,Agentnoon Asia Inc.,,,,,,3
p_5RpX1WiN4bfD2y5DKTI3ud,Karen Arthur,Lead VP of  IT,karen.arthur@godaddy.com,p_FEaU556X6F8tMioU8WrDN,Active,17/01/2018,Product Management,"Toronto, Canada",89639.13719,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Self-serve,Agentnoon Asia Inc.,,,,,,3
p_gnLtlUC8J0cVOJoUdr7nO,Rosemary Mccleary,Lead VP of  Finance,rosemary.mccleary@hotmail.com,p_FEaU556X6F8tMioU8WrDN,Active,14/01/2018,Digital Marketing,"London, United Kingdom",97306.60003,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⭐ High Performer,Re-Design,Agentnoon Asia Inc.,,,,,,3
p_gNcKNPLtTLojpvQCSqgp0,Michael Lafoe,Senior VP of  IT,michael.lafoe@gmail.com,p_FEaU556X6F8tMioU8WrDN,Active,01/01/2018,Systems Administration,"Mumbai, India",90136.01359,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Re-Design,Agentnoon Canada Inc.,,,,,,3
p_EA9EHCj7I9dZrknZw3QI2,Patricia Gerhart,Intermediate VP of  Engineering,patricia.gerhart@outlook.com,p_FEaU556X6F8tMioU8WrDN,Active,05/02/2018,Systems Administration,"Sydney, Australia",104786.2424,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Self-serve,Agentnoon EU Inc.,,,,,,3
p_PrA0hqXcJbIyFs1CZZsDK8,Evan Channel,Intermediate VP of  HR,evan.channel@yahoo.com,p_qGANANkLanxTJvL6eHPNmym,Active,02/01/2018,Project Management,"Toronto, Canada",92045.59038,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Re-Design,Agentnoon Asia Inc.,,,,,,3
p_iqIttbVoFeJRDXb60tjuN,Tony Irwin,Lead VP of  Engineering,tony.irwin@yahoo.com,p_qGANANkLanxTJvL6eHPNmym,Active,11/04/2018,Data Analytics,"London, United Kingdom",85457.02095,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⭐ High Performer,Audit,Agentnoon Asia Inc.,,,,,,3
p_9Q5Gr4DKpXvzwSKqTRArne,Paul Hooper,Principal VP of  Operations,paul.hooper@yahoo.com,p_qGANANkLanxTJvL6eHPNmym,Active,07/02/2018,User Interface (UI) Design,"Mumbai, India",93284.45881,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Marketing 2.0,Agentnoon USA Inc.,,,,,,3
p_I4vuFq7ljxJYbGsRmLfym,Jill Rogers,UX Designer (User Experience Designer),jill.rogers@efficientoffice.com,p_P7lSz8GTk0HF8V8d0Ra6E,Active,01/01/2018,Sales and Business Development,"London, United Kingdom",63811.754,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Marketing 2.0,Agentnoon Canada Inc.,,,,,,4
p_IsYRLEDMA6XWpjVFyTNAD,Glenda Moreno,Senior Demand Generation Manager,glenda.moreno@agentnoon.com,p_P7lSz8GTk0HF8V8d0Ra6E,Active,04/01/2018,Digital Marketing,"Mumbai, India",66030.38241,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Marketing 2.0,Agentnoon Asia Inc.,,,,,,4
p_qCDKYn7H4eDjqUryJPMEE0,Majorie Sherrer,Intermediate VP of Product,majorie.sherrer@efficientoffice.com,p_P7lSz8GTk0HF8V8d0Ra6E,Active,06/01/2018,Data Analytics,"Paris, France",75599.7908,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⭐ High Performer,Audit,Agentnoon EU Inc.,,,,,,4
p_5JyQjteBDqYD2MdpiRZaL,Don Loh,Senior CEO,don.loh@outlook.com,p_9fCpnHvyvnnbJUqzQcUpr,Active,21/02/2018,Systems Administration,"Paris, France",72053.41423,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Audit,Agentnoon Asia Inc.,,,,,,4
p_ng3VrADKPibREmzANnRfhn2,Dorothy Encarnacion,Junior Executive Assistant,dorothy.encarnacion@agentnoon.com,p_9fCpnHvyvnnbJUqzQcUpr,Active,01/01/2018,Digital Marketing,"London, United Kingdom",72225.32179,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Marketing 2.0,Agentnoon EU Inc.,,,,,,4
p_IaB6iGrfoSFEUOLFhd8yDK,Robert Heck,Lead VP of Sales,robert.heck@agentnoon.com,p_9fCpnHvyvnnbJUqzQcUpr,Active,02/01/2018,Systems Administration,"Dubai, United Arab Emirates",75720.84679,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Audit,Agentnoon USA Inc.,,,,,,4
p_qrciBHFUMaZIfLANBQ38CO,Glenda Miller,Intermediate Graphic Designer,glenda.miller@agentnoon.com,p_9fCpnHvyvnnbJUqzQcUpr,Active,27/01/2018,Customer Support and Success,"Paris, France",73377.03342,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⭐ High Performer,Marketing 2.0,Agentnoon USA Inc.,,,,,,4
p_sU6n6RhYFSnlKrO8k9hkA,Sarah Lunt,Staff Director of IT,sarah.lunt@godaddy.com,p_WmU7raAVSce7hdaoDKUdGZ,Active,23/01/2018,Sales and Business Development,"Paris, France",72653.33026,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Retention,Agentnoon EU Inc.,,,,,,4
p_bTi9G1ANSSHlwlh1kKO803,Alma Brown,Principal UI Designer (User Interface Designer),alma.brown@agentnoon.com,p_WmU7raAVSce7hdaoDKUdGZ,Active,02/01/2018,Data Analytics,"San Francisco, United States",58137.70391,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Self-serve,Agentnoon EU Inc.,,,,,,4
p_GksiNPfADKTpG864kwxDKC1,Kirk Sturgis,Lead Product Manager,kirk.sturgis@hotmail.com,p_WmU7raAVSce7hdaoDKUdGZ,Active,19/01/2018,User Interface (UI) Design,"Sydney, Australia",70105.92424,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Re-Design,Agentnoon EU Inc.,,,,,,4
p_pvcMPAOPizT1uoBmBBgPc,Levi Moore,Sales Team Lead,levi.moore@godaddy.com,p_wxISoPHXyh6A9jhDKEzuWH,Active,15/01/2018,Systems Administration,"Dubai, United Arab Emirates",67630.938,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Marketing 2.0,Agentnoon Asia Inc.,,,,,,4
p_npNzxyDKXbM0FqBCSBxa77,Kurt Cantor,Senior Social Media Marketer,kurt.cantor@outlook.com,p_wxISoPHXyh6A9jhDKEzuWH,Active,25/03/2018,Product Management,"London, United Kingdom",62275.75225,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👍 Meets Expectations,Retention,Agentnoon USA Inc.,,,,,,4
p_0tRl2izsRYw9SBHoAXh2i,Angela Preciado,Lead Compliance Officer,angela.preciado@hotmail.com,p_wxISoPHXyh6A9jhDKEzuWH,Active,24/01/2018,User Experience (UX) Design,"London, United Kingdom",69119.85288,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Marketing 2.0,Agentnoon Canada Inc.,,,,,,4
p_aJDK6FhvnYkmyIVgNld3jN,Kurt Trahan,Intermediate Data Analyst,kurt.trahan@agentnoon.com,p_wxISoPHXyh6A9jhDKEzuWH,Active,02/02/2018,Software Development,"Paris, France",59035.40415,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Audit,Agentnoon Canada Inc.,,,,,,4
p_DKtLGxliTlMsYKwf6TDKLly,Pat Collins,Staff Web Designer,pat.collins@efficientoffice.com,p_drglzAuiiGDKLlydiuPLNR,Active,02/01/2018,User Experience (UX) Design,"Mumbai, India",71203.40254,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Marketing 2.0,Agentnoon Asia Inc.,,,,,,4
p_AvnsJtFHe9Ule3QtLVA5y,Lisa Cantu,Principal Database Administrator,lisa.cantu@outlook.com,p_drglzAuiiGDKLlydiuPLNR,Active,12/02/2018,Finance and Accounting,"Mumbai, India",70017.56636,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Audit,Agentnoon EU Inc.,,,,,,4
p_fguK78Ehbm9TAuqcgD46AN,Denise Valles,Lead Business Development Associate,denise.valles@yahoo.com,p_drglzAuiiGDKLlydiuPLNR,Active,09/01/2018,Information Technology,"Sydney, Australia",83322.0002,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Audit,Agentnoon EU Inc.,,,,,,4
p_DK0SHVu5OQ4mJznw7AjqWM,Roger Riley,Principal Systems Analyst,roger.riley@godaddy.com,p_drglzAuiiGDKLlydiuPLNR,Active,09/03/2018,Quality Assurance,"Dubai, United Arab Emirates",64818.20022,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Audit,Agentnoon USA Inc.,,,,,,4
